レベル,日付と時刻,ソース,イベント ID,タスクのカテゴリ
情報,2019/11/07 17:58:48,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
UtcTime: 2019-11-07 08:58:48.965
ProcessGuid: {02EA0504-7597-5A01-0000-0010F1A71D00}
ProcessId: 2984
Image: C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"
情報,2019/11/07 17:58:48,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
UtcTime: 2019-11-07 08:58:48.326
ProcessGuid: {02EA0504-75C8-5A01-0000-001054B21D00}
ProcessId: 2576
Image: C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"
情報,2019/11/07 17:58:48,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
UtcTime: 2019-11-07 08:58:48.326
ProcessGuid: {02EA0504-75C8-5A01-0000-001054B21D00}
ProcessId: 2576
Image: C:\Program Files (x86)\Google\Update\GoogleUpdate.exe
CommandLine: ""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /svc
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {02EA0504-41A6-5A01-0000-0020E7030000}
LogonId: 0x3e7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA1=ADB860FF9C00B308BF4ABBCB77E2C5233FEB61C5
ParentProcessGuid: {02EA0504-41A6-5A01-0000-001033890000}
ParentProcessId: 504
ParentImage: C:\Windows\System32\services.exe
ParentCommandLine: C:\Windows\system32\services.exe"
情報,2019/11/07 17:57:59,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
UtcTime: 2019-11-07 08:57:59.980
ProcessGuid: {02EA0504-7597-5A01-0000-0010F1A71D00}
ProcessId: 2984
Image: C:\Program Files (x86)\Google\Update\GoogleUpdate.exe
CommandLine: ""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /ua /installsource scheduler
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {02EA0504-41A6-5A01-0000-0020E7030000}
LogonId: 0x3e7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA1=ADB860FF9C00B308BF4ABBCB77E2C5233FEB61C5
ParentProcessGuid: {02EA0504-41EC-5A01-0000-0010C4BF0100}
ParentProcessId: 1928
ParentImage: C:\Windows\System32\taskeng.exe
ParentCommandLine: taskeng.exe {54713E6C-87C6-4368-99B5-3DB599A32F37} S-1-5-18:NT AUTHORITY\System:Service:"
情報,2019/11/07 17:57:49,Microsoft-Windows-Sysmon,2,File creation time changed (rule: FileCreateTime),"File creation time changed:
UtcTime: 2019-11-07 08:57:49.844
ProcessGuid: {02EA0504-485D-5A01-0000-0010DB380900}
ProcessId: 2736
Image: C:\Program Files\Internet Explorer\iexplore.exe
TargetFilename: C:\Users\chiyoda.tokyo.EXAMPLE\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\7DFP2Z1Y2XEWFFSVPUZQ.temp
CreationUtcTime: 2019-11-07 05:26:24.114
PreviousCreationUtcTime: 2019-11-07 08:57:49.844"
情報,2019/11/07 17:56:55,Microsoft-Windows-Sysmon,2,File creation time changed (rule: FileCreateTime),"File creation time changed:
UtcTime: 2019-11-07 08:56:55.229
ProcessGuid: {02EA0504-485D-5A01-0000-0010DB380900}
ProcessId: 2736
Image: C:\Program Files\Internet Explorer\iexplore.exe
TargetFilename: C:\Users\chiyoda.tokyo.EXAMPLE\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\CD1XXETHNH3CC82SLNVB.temp
CreationUtcTime: 2019-11-07 05:26:24.114
PreviousCreationUtcTime: 2019-11-07 08:56:55.229"
情報,2019/11/07 17:47:47,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
UtcTime: 2019-11-07 08:47:47.738
ProcessGuid: {02EA0504-732E-5A01-0000-001016481B00}
ProcessId: 2192
Image: C:\Windows\System32\dllhost.exe"
情報,2019/11/07 17:47:47,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
UtcTime: 2019-11-07 08:47:47.395
ProcessGuid: {02EA0504-732E-5A01-0000-0010C6441B00}
ProcessId: 856
Image: C:\Windows\System32\dllhost.exe"
情報,2019/11/07 17:47:42,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
UtcTime: 2019-11-07 08:47:42.730
ProcessGuid: {02EA0504-732E-5A01-0000-00100A4A1B00}
ProcessId: 1068
Image: C:\Windows\System32\mmc.exe
CommandLine: ""C:\Windows\system32\mmc.exe"" ""C:\Windows\system32\eventvwr.msc"" /s
CurrentDirectory: C:\Windows\system32\
User: EXAMPLE\sysg.admin
LogonGuid: {02EA0504-732E-5A01-0000-002087431B00}
LogonId: 0x1b4387
TerminalSessionId: 1
IntegrityLevel: High
Hashes: SHA1=F5DC12D658402900A2B01AF2F018D113619B96B8
ParentProcessGuid: {02EA0504-41EC-5A01-0000-001019C60100}
ParentProcessId: 1988
ParentImage: C:\Windows\explorer.exe
ParentCommandLine: C:\Windows\Explorer.EXE"
情報,2019/11/07 17:47:42,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
UtcTime: 2019-11-07 08:47:42.699
ProcessGuid: {02EA0504-732E-5A01-0000-001016481B00}
ProcessId: 2192
Image: C:\Windows\System32\dllhost.exe
CommandLine: C:\Windows\system32\DllHost.exe /Processid:{E10F6C3A-F1AE-4ADC-AA9D-2FE65525666E}
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {02EA0504-41A6-5A01-0000-0020E7030000}
LogonId: 0x3e7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA1=E977B87698C3E595D55827665E22FBF788DD3F9F
ParentProcessGuid: {02EA0504-41A7-5A01-0000-001060A00000}
ParentProcessId: 636
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k DcomLaunch"
