レベル,日付と時刻,ソース,イベント ID,タスクのカテゴリ
情報,2019/11/07 17:16:48,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""EXAMPLE\Administrator"" の ""\Microsoft\Windows\CertificateServicesClient\UserTask-Roam"" タスクの ""{F4150E78-52B8-4A37-BFA8-2C217640EF78}"" インスタンスを正常に完了しました。"
情報,2019/11/07 17:16:48,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\CertificateServicesClient\UserTask-Roam""、インスタンス ""{F4150E78-52B8-4A37-BFA8-2C217640EF78}""、操作 ""Certificate Services Client Task Handler"" を正常に完了しました。リターン コード: 0"
情報,2019/11/07 17:16:48,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\CertificateServicesClient\UserTask-Roam"" のインスタンス ""{F4150E78-52B8-4A37-BFA8-2C217640EF78}"" で操作 ""Certificate Services Client Task Handler"" を開始しました。"
情報,2019/11/07 17:16:48,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""EXAMPLE\Administrator"" の ""\Microsoft\Windows\CertificateServicesClient\UserTask-Roam"" タスクの ""{F4150E78-52B8-4A37-BFA8-2C217640EF78}"" インスタンスを開始しました。"
情報,2019/11/07 17:16:48,Microsoft-Windows-TaskScheduler,319,タスク エンジンはタスク開始のメッセージを受信しました,"タスク エンジン ""S-1-5-21-1524084746-3249201829-3114449661-500:EXAMPLE\Administrator:Interactive:[1]"" は、タスク スケジューラ サービスからタスク ""\Microsoft\Windows\CertificateServicesClient\UserTask-Roam"" の起動を要求するメッセージを受信しました。"
情報,2019/11/07 17:16:48,Microsoft-Windows-TaskScheduler,125,ワークステーションのロック解除によってトリガされるタスク,"タスク スケジューラは、ユーザー ""Administrator"" がコンピュータ トリガをロック解除したことによってタスク ""\Microsoft\Windows\CertificateServicesClient\UserTask-Roam"" の ""{F4150E78-52B8-4A37-BFA8-2C217640EF78}"" インスタンスを起動しました。"
情報,2019/11/07 17:09:04,Microsoft-Windows-TaskScheduler,318,タスク エンジンを正常にシャットダウンしました,"タスク スケジューラは、タスク エンジン ""S-1-5-19:NT AUTHORITY\LocalService:Service:"" プロセスをシャットダウンします。"
情報,2019/11/07 17:09:03,Microsoft-Windows-TaskScheduler,318,タスク エンジンを正常にシャットダウンしました,"タスク スケジューラは、タスク エンジン ""S-1-5-19:NT AUTHORITY\LocalService:Service:"" プロセスをシャットダウンします。"
情報,2019/11/07 17:09:03,Microsoft-Windows-TaskScheduler,301,タスク エンジンを正常にシャットダウンしました,"タスク スケジューラは、タスク エンジン ""S-1-5-19:NT AUTHORITY\LocalService:Service:"" をシャットダウンしています"
情報,2019/11/07 17:04:03,Microsoft-Windows-TaskScheduler,314,タスク エンジンがアイドル状態です,"タスク スケジューラには、タスク エンジン ""S-1-5-19:NT AUTHORITY\LocalService:Service:"" で実行中のタスクがないため、アイドル タイマが開始されました。"
情報,2019/11/07 17:04:03,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""NT AUTHORITY\LOCAL SERVICE"" の ""\Microsoft\Windows\RAC\RACAgent"" タスクの ""{62CE698A-EBF9-41BD-8D27-217BBBD588F1}"" インスタンスを正常に完了しました。"
情報,2019/11/07 17:04:03,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\RAC\RACAgent""、インスタンス ""{62CE698A-EBF9-41BD-8D27-217BBBD588F1}""、操作 ""C:\Windows\system32\RacAgent.exe"" を正常に完了しました。リターン コード: 0"
情報,2019/11/07 17:04:03,Microsoft-Windows-TaskScheduler,129,タスクのプロセスが作成されました,"タスク スケジューラは、プロセス ID 2560 でタスク ""\Microsoft\Windows\RAC\RACAgent""、インスタンス ""C:\Windows\system32\RacAgent.exe"" を起動しました。"
情報,2019/11/07 17:04:03,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\RAC\RACAgent"" のインスタンス ""{62CE698A-EBF9-41BD-8D27-217BBBD588F1}"" で操作 ""%windir%\system32\RacAgent.exe"" を開始しました。"
情報,2019/11/07 17:04:03,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""NT AUTHORITY\LOCAL SERVICE"" の ""\Microsoft\Windows\RAC\RACAgent"" タスクの ""{62CE698A-EBF9-41BD-8D27-217BBBD588F1}"" インスタンスを開始しました。"
情報,2019/11/07 17:04:03,Microsoft-Windows-TaskScheduler,319,タスク エンジンはタスク開始のメッセージを受信しました,"タスク エンジン ""S-1-5-19:NT AUTHORITY\LocalService:Service:"" は、タスク スケジューラ サービスからタスク ""\Microsoft\Windows\RAC\RACAgent"" の起動を要求するメッセージを受信しました。"
情報,2019/11/07 17:04:03,Microsoft-Windows-TaskScheduler,317,タスク エンジンが開始されました,"タスク スケジューラは、タスク エンジン ""S-1-5-19:NT AUTHORITY\LocalService:Service:"" プロセスを開始しました。"
情報,2019/11/07 17:04:02,Microsoft-Windows-TaskScheduler,310,タスク エンジンが開始されました,"タスク スケジューラは、タスク エンジン ""S-1-5-19:NT AUTHORITY\LocalService:Service:"" プロセスを開始しました。コマンド = ""taskeng.exe""、プロセス ID = 1596、スレッド ID = 1296"
情報,2019/11/07 16:09:03,Microsoft-Windows-TaskScheduler,318,タスク エンジンを正常にシャットダウンしました,"タスク スケジューラは、タスク エンジン ""S-1-5-19:NT AUTHORITY\LocalService:Service:"" プロセスをシャットダウンします。"
情報,2019/11/07 16:09:03,Microsoft-Windows-TaskScheduler,318,タスク エンジンを正常にシャットダウンしました,"タスク スケジューラは、タスク エンジン ""S-1-5-19:NT AUTHORITY\LocalService:Service:"" プロセスをシャットダウンします。"
情報,2019/11/07 16:09:03,Microsoft-Windows-TaskScheduler,301,タスク エンジンを正常にシャットダウンしました,"タスク スケジューラは、タスク エンジン ""S-1-5-19:NT AUTHORITY\LocalService:Service:"" をシャットダウンしています"
情報,2019/11/07 16:04:03,Microsoft-Windows-TaskScheduler,314,タスク エンジンがアイドル状態です,"タスク スケジューラには、タスク エンジン ""S-1-5-19:NT AUTHORITY\LocalService:Service:"" で実行中のタスクがないため、アイドル タイマが開始されました。"
情報,2019/11/07 16:04:03,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""NT AUTHORITY\LOCAL SERVICE"" の ""\Microsoft\Windows\RAC\RACAgent"" タスクの ""{8EC617D2-E6D9-4A1F-88B1-25AF17BB067A}"" インスタンスを正常に完了しました。"
